timestamp,pose_x,pose_y,pose_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1739773959658030032,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959695878291,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959727857083,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959756858076,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959783391514,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959804001171,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959837176009,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959861262338,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959903164320,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959910720120,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959935702940,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959961595457,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773959988121272,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960017203408,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960044752613,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960083353888,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960112944878,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960150596222,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960212139300,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960216994663,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960244272657,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960269336801,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960309016619,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960366541285,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960406994980,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960432033566,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960461126986,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960503787427,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960552209395,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960569504396,-2.2923565823340653e-10,2.5453596856493237e-16,0.0,-3.9182418991297095e-16,-3.5271594296684545e-10,2.4510342233644376e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1739773960602426097,0.00010499911637917858,1.2716575080987052e-14,0.0,-7.385485868394341e-16,-4.392366695245231e-10,-1.103330168413842e-14,1.0,0.009499953305558417,8.797401136290639e-13,0.0,0.0,0.0,-1.5762584981495755e-12
1739773960623471486,0.0005949981827173823,3.031453692615405e-14,0.0,-8.875954481999287e-16,-5.425750329610696e-10,-2.6795440546332717e-14,1.0,0.02949995330956967,8.813553097656455e-13,0.0,0.0,0.0,-1.5761991529037085e-12
1739773960670161544,0.0014849972472867068,4.7912729911088045e-14,0.0,-1.0215280128947462e-15,-6.270959726582136e-10,-4.255681385609096e-14,1.0,0.04949995319225575,8.837126798589538e-13,0.0,0.0,0.0,-1.57611558251555e-12
1739773960709737013,0.0027749963079854723,6.549784900579456e-14,0.0,-1.1430969908305231e-15,-6.962241890232037e-10,-5.831729212720869e-14,1.0,0.06949995297495792,8.866225892749771e-13,0.0,0.0,0.0,-1.5760261146604963e-12
1739773960730192296,0.004464995363077123,8.246440958141967e-14,0.0,-3.4504681894946105e-16,-7.527679664057367e-10,-7.407880304039361e-14,1.0,0.08949995267500122,8.310437720379364e-13,0.0,0.0,0.0,-1.5763421108893813e-12
1739773960761776888,0.006554994411136411,9.997773097775001e-14,0.0,-4.481716749400011e-16,-7.990147009446594e-10,-8.98430839479351e-14,1.0,0.10949995230709053,8.938577482101169e-13,0.0,0.0,0.0,-1.5764288047115328e-12
1739773960805071173,0.009044993450986166,1.1742263332302008e-13,0.0,-5.44501723880163e-16,-8.368399669792689e-10,-1.0560723322228399e-13,1.0,0.12949995188339114,8.976998749486973e-13,0.0,0.0,0.0,-1.5764097782339551e-12
1739773960820244579,0.011934992481656553,1.347765064060275e-13,0.0,-6.352651942620414e-16,-8.677774706390237e-10,-1.2137086945726402e-13,1.0,0.14949995141341765,9.016542385244275e-13,0.0,0.0,0.0,-1.576348971856254e-12
1739773960871508054,0.015224991502349156,1.520160520293625e-13,0.0,-7.214747989300605e-16,-8.930803530160681e-10,-1.3713393151154845e-13,1.0,0.16949995090550507,9.056977709046426e-13,0.0,0.0,0.0,-1.5762904524675107e-12
1739773960930059186,0.01891499051240514,1.6911708961436955e-13,0.0,-8.039138935916643e-16,-9.137753472413691e-10,-1.5289624855182257e-13,1.0,0.18949995036622036,9.09787578157128e-13,0.0,0.0,0.0,-1.5762132665901921e-12
1739773960949475021,0.023004989511280882,1.8605490960368293e-13,0.0,-8.833119184802289e-16,-9.307033966186207e-10,-1.6865762753626657e-13,1.0,0.20949994980105635,9.138801330176272e-13,0.0,0.0,0.0,-1.576097371307184e-12
1739773960972818409,0.027494988498530812,2.028043772984677e-13,0.0,-9.601653853578116e-16,-9.445489898567857e-10,-1.8441789856154174e-13,1.0,0.2294999492147079,9.179902107055182e-13,0.0,0.0,0.0,-1.575991979232722e-12
1739773961004979408,0.032384987473787,2.1933994190276816e-13,0.0,-1.0348834312556515e-15,-9.558732575239314e-10,-2.001767437622897e-13,1.0,0.2494999486109067,9.220848879529776e-13,0.0,0.0,0.0,-1.5758565069007204e-12
1739773961054916091,0.03767498643674522,2.350503816153659e-13,0.0,-1.9856962425254286e-16,-9.651369131308428e-10,-2.1593882157675253e-13,1.0,0.2694999479926047,8.675810202556454e-13,0.0,0.0,0.0,-1.5766656774752325e-12
1739773961074624609,0.04336498538715776,2.511009273740622e-13,0.0,-2.702212615620714e-16,-9.727122882936074e-10,-2.317119644203063e-13,1.0,0.2894999473624163,9.311994568906593e-13,0.0,0.0,0.0,-1.577320243361047e-12
1739773961110181902,0.04945498432481797,2.668617467566591e-13,0.0,-3.406023420633297e-16,-9.789081553308557e-10,-2.4748439555722675e-13,1.0,0.3094999467225801,9.352696812348833e-13,0.0,0.0,0.0,-1.5772279802972672e-12
1739773961142711292,0.05594498324955628,2.8230716245585586e-13,0.0,-4.1012974791406857e-16,-9.839757441138411e-10,-2.632559185194965e-13,1.0,0.3294999460744491,9.39333127456085e-13,0.0,0.0,0.0,-1.5771400476894304e-12
1739773961179668345,0.06283499999845762,-1.1359342287182997e-18,0.0,0.0,0.0,-1.1102272090604442e-17,1.0,0.34949999999564324,0.0,0.0,0.0,0.0,5.551115123125783e-16
1739773961180360000,0.06283498216123373,2.974117755321288e-13,0.0,-4.789396012296997e-16,-9.881196490287537e-10,-2.7902673942434074e-13,1.0,0.349499945419865,9.433844202548329e-13,0.0,0.0,0.0,-1.5770647676362432e-12
1739773961226728174,0.07012498105973472,3.121497439917123e-13,0.0,-5.47161833919715e-16,-9.915091120708028e-10,-2.9479665360488593e-13,1.0,0.3694999447597256,9.4739196225234e-13,0.0,0.0,0.0,-1.5769419584468031e-12
1739773961253981861,0.07781497994496393,3.264945036271245e-13,0.0,-6.145694457830698e-16,-9.942825352532618e-10,-3.105649699286478e-13,1.0,0.3894999440950245,9.513486393340719e-13,0.0,0.0,0.0,-1.5767940664942125e-12
1739773961292568290,0.0859049788168446,3.404207516081758e-13,0.0,-6.816901365756816e-16,-9.96550489841983e-10,-3.2633164209435496e-13,1.0,0.40949994342670964,9.552962296219807e-13,0.0,0.0,0.0,-1.5766388794703637e-12
1739773961324775223,0.09439497767531377,3.539029483901252e-13,0.0,-7.484197675233938e-16,-9.984032379839031e-10,-3.420967549861264e-13,1.0,0.42949994275534725,9.592076242871904e-13,0.0,0.0,0.0,-1.5764385773541618e-12
1739773961372021668,0.10328497652031557,3.669153778507218e-13,0.0,-8.145169176586991e-16,-9.999205112089284e-10,-3.5786027342589065e-13,1.0,0.4494999420814924,9.63124694285166e-13,0.0,0.0,0.0,-1.5763048943792613e-12
1739773961411893031,0.11257497535180748,3.7943247127929934e-13,0.0,-8.806497017743547e-16,-1.0011624847012977e-09,-3.7362172306420366e-13,1.0,0.46949994140546847,9.6703731838914e-13,0.0,0.0,0.0,-1.5761267951141893e-12
1739773961451156954,0.1222649741697561,3.914284353128244e-13,0.0,-9.462262765139766e-16,-1.0021757935102636e-09,-3.8938114286784803e-13,1.0,0.48949994072797764,9.708705412281151e-13,0.0,0.0,0.0,-1.5758872012571466e-12
1739773961477421764,0.13224997362746135,3.906857277946226e-13,0.0,-9.455271152540757e-16,-9.172681529088012e-10,-3.941062109548016e-13,1.0,0.49999998669215684,9.040392617367404e-14,0.0,0.0,0.0,3.1643402367543584e-16
1739773961517894637,0.14224997334854617,3.8445836768050735e-13,0.0,-9.315548956912404e-16,-8.146126557770417e-10,-3.941006989246429e-13,1.0,0.4999999858555871,8.037080876532455e-14,0.0,0.0,0.0,5.813960117288694e-16
1739773961548605458,0.15224997305521906,3.780587153465835e-13,0.0,-9.326703610072669e-16,-7.306512238164697e-10,-3.940932332650852e-13,1.0,0.4999999851712123,7.217518555598849e-14,0.0,0.0,0.0,7.885616952526406e-16
1739773961596391421,0.1622499727501091,3.7151624115418664e-13,0.0,-9.459036823637631e-16,-6.619787140706766e-10,-3.940825134169053e-13,1.0,0.49999998461170697,6.53579755061825e-14,0.0,0.0,0.0,1.1226473766873765e-15
1739773961622688711,0.17224997243535972,3.6485703335752683e-13,0.0,-9.691720008990377e-16,-6.058097837047929e-10,-3.940690534631505e-13,1.0,0.49999998415387054,5.97951358788396e-14,0.0,0.0,0.0,1.4225333842635629e-15
1739773961664514007,0.1822499721127274,3.5810228079638217e-13,0.0,-1.0005932270630462e-15,-5.598690711335953e-10,-3.9405323337536457e-13,1.0,0.4999999837794589,5.522064811152552e-14,0.0,0.0,0.0,1.6801336190730664e-15
1739773961688470028,0.19224997178364392,3.5126945612270523e-13,0.0,-1.0384824569092144e-15,-5.222949178805061e-10,-3.940355831710471e-13,1.0,0.4999999834731123,5.1477412994936735e-14,0.0,0.0,0.0,1.8798803455322437e-15
1739773961734781196,0.20224997144928758,3.443708263062838e-13,0.0,-1.081818114300703e-15,-4.915626436240358e-10,-3.9401447664824887e-13,1.0,0.49999998322277917,4.834161552980015e-14,0.0,0.0,0.0,2.2051015717819492e-15
1739773961785074885,0.21224997111061744,3.3741942500958065e-13,0.0,-1.1297941004574912e-15,-4.664258772935833e-10,-3.939912769821629e-13,1.0,0.4999999830177904,4.581824460415474e-14,0.0,0.0,0.0,2.367716946365203e-15
