timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1739773962785985531,0.5,0.0,0.0,0.0,0.0,-0.35
1739773967791965933,0.0,0.0,0.0,0.0,0.0,0.0
1739773967947318930,0.5,0.0,0.0,0.0,0.0,0.0
1739773989588504140,0.5,0.0,0.0,0.0,0.0,0.35
1739773991448831290,0.0,0.0,0.0,0.0,0.0,0.0
1739773991636796856,0.5,0.0,0.0,0.0,0.0,0.0
1739774010068572444,0.5,0.0,0.0,0.0,0.0,-0.35
1739774011650990782,0.5,0.0,0.0,0.0,0.0,-0.35
1739774011895711698,0.0,0.0,0.0,0.0,0.0,0.0
1739774014129199966,0.5,0.0,0.0,0.0,0.0,0.0
1739774042551307625,0.5,0.0,0.0,0.0,0.0,0.35
1739774045230909896,0.0,0.0,0.0,0.0,0.0,0.0
1739774045386413431,0.5,0.0,0.0,0.0,0.0,0.0
1739774047520703299,0.5,0.0,0.0,0.0,0.0,0.0
1739774066025503344,0.5,0.0,0.0,0.0,0.0,-0.35
1739774069115558389,0.0,0.0,0.0,0.0,0.0,0.0
1739774069232753958,0.5,0.0,0.0,0.0,0.0,0.0
1739774090216695065,0.5,0.0,0.0,0.0,0.0,0.35
1739774092150307445,0.0,0.0,0.0,0.0,0.0,0.0
1739774092309674052,0.5,0.0,0.0,0.0,0.0,0.0
1739774118982038433,0.5,0.0,0.0,0.0,0.0,-0.35
1739774120934041265,0.0,0.0,0.0,0.0,0.0,0.0
1739774121188477397,0.5,0.0,0.0,0.0,0.0,0.0
1739774140642978641,0.5,0.0,0.0,0.0,0.0,0.35
1739774143199813057,0.0,0.0,0.0,0.0,0.0,0.0
1739774145279860048,0.5,0.0,0.0,0.0,0.0,0.0
